chunk_number,heading,heading_level,page,content_sample
53,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.3 Software Promotion to Engineering and to SQE",3,16,"Software Promotion to Engineering and SQE for all the Console, Embedded, Imaging components Ember Software and Prerequisite, NLS and System builds are uploaded to DHF and mentioned in the Software Build Procedure documents listed below. · D67594_Halcyon_4.0_Console_Software_Build_Procedure_Rev_01.pdf · D68456 Halcyon 4.0 RTSS Build Procedure Rev 01.docx.pdf · D67814_XS_4.0_SBP_XINode_Rev_01.docx.pdf · D42334 CR SBP Rev 05.docx.pdf · D68539_MPC_2.37_SBP_Rev_01.pdf · D68717_HAL4_TI_2.37_SBP_Rev_02.docx.pdf · D68585 TDIS Ember Build Procedure Rev 01.docx.pdf · D67595_Halcyon_4.0_System_Build_Procedure_Rev_02.pdf Individual Software components are built using Continuous Integration and Nightly schedule Builds. Automation is run at each check-in and Nightly automation on the scheduled CI builds During a release once the build is stable and ready for release HAL-Main Source code is stomped onto PR branch. All the builds are created on the PR branch with the right versioning and Promoted"
54,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.3 Software Promotion to Engineering and to SQE (Continued)",3,16,to SQE for verification.
55,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP",3,16-17,"We have evaluated all our off the shelf (OTS) software, none of which results in post-mitigation hazard. We have therefore concluded that the level of concern for all OTS software is minor. Please see Table below for basic details regarding the OTS software components. Note, no additional instruction is needed to the user with regards to these software components. All SOUP items used in the device to be released or needed as a pre-requisite for this device to operate will be described in the System Design Description (SyDD) document or Subsystem Design Description (SysDD) document for this release. Corresponding failure modes and potential safety risks will be analyzed as part of the Risk Management activities. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign"
56,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,17,"DND01F02 Rev 01 Page 17 of 34 Details regarding Varian Off the Shelf Software: Table 4: Details regarding Varian Off the Shelf Software SOFTWARE  Manufacturer Unique SOUP Identifier (e.g. version, release date, patch number) Documentation Supplied to End User Windows 10  Microsoft Corporation Windows 10 Enterprise 2016 LTSB Version 1607, Released Date 8/2/2016, OS build 14393.1198 None VxWorks  Wind River  Version 6.9 32  None Network Shutdown EATON  Version 3.21  None Module Enterprise Library 5.0  Microsoft Corporation  Version 5.0.414.0  None .NET Framework Redistributable Package Microsoft Corporation  Version 1.1  None .NET Framework Redistributable Package Microsoft Corporation  Version 4.0.30319, full profile None Microsoft DirectX  Microsoft Corporation  Version 11  None Visual C++ 2005 Redistributable Microsoft Corporation  Version 8.0.56336  None Visual C++ 2005 Redistributable x64 Microsoft Corporation  Version 8.0.61000  None Visual C++ 2005 Redistributable"
57,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,17-18,Microsoft Corporation  Version 8.0.61001  None Visual C++ 2008 x86  Microsoft Corporation  Version 9.0.21022  None Visual C++ 2008 x86 x64  Microsoft Corporation  Version 9.0.30729.6161  None Visual C++ 2010 x86 Runtime Microsoft Corporation  Version 10.0.30319  None Visual C++ 2010 x64 Runtime Microsoft Corporation  Version 10.0.40219  None Visual C++ 2013 x86 Runtime Microsoft Corporation  Version 12.0.30501  None Visual C++ 2013 x64 Runtime Microsoft Corporation  Version 12.0.30501  None Visual C++ 2015 x86 Runtime Microsoft Corporation  Version 14.0.23026.0  None Visual C++ 2015 x64 Runtime Microsoft Corporation  Version 14.0.24215.1  None Visual C++ 2017 x64 Runtime Microsoft Corporation  Version 14.15.26706.0  None MSXML 4.0 SP2 Parser and SDK Microsoft Corporation  Version 4.20  None MSXML 4.0 SP3 Parser  Microsoft Corporation  Version 4.30.  None Log Parser  Microsoft Corporation  Version 2.2.10  None HAL 4.0 MR1 Maintenance Release Document
58,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,18,"This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 18 of 34 PeerSync  Peer Software, Inc.  Version 8.5  None VNC Server  RealVNC Ltd.  Version 5.0.4  None PDF Printer  Acro Software Inc.  Version 3.1  None DirectShowLib-2005  SourceForge (Open Source) Version 1.3  None DotNetZip (Ionic.Zip)  Xceed (Open Source)  Version 1.9.1.5  None ChartFX  Software FX  Version 7.0  None LiveView Camera Driver  StarTech  Version 5.2011.307.0  None Google.Protobuf  Google  Version 3.1.0  None Microsoft.AspNet.WebAp i.Client Microsoft Corporation  Version 5.2.3  None Microsoft.AspNet.WebAp i.Core Microsoft Corporation  Version 5.2.3  None Microsoft.AspNet.WebAp i.Owin Microsoft Corporation  Version 5.2.3  None Microsoft.Owin  Microsoft Corporation  Version 3.0.1  None Microsoft.Owin.Host.Http Listene"
59,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,18-19,"Microsoft Corporation  Version 3.1.0  None Microsoft.Owin.Hosting  Microsoft Corporation  Version 3.0.1  None Newtonsoft.Json  Newtonsoft  Version 9.0.1  None Owin  Microsoft Corporation  Version 1.0.0  None HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 19 of 34 1.6 Operations and Service Readiness Plan Database Migration Path N/A Upgrade Environment for Service activities: Upgrade to v3.0 v3.1 v4.0 4.0MR1 1U 6911SBC WS Dell 7910 WS iCBCT (with 2 GPUs/KV machine): Use Lab setup 1U 6911SBC WS Dell 7910 WS iCBCT (with 2 GPUs/KV machine): Use Lab setup N/A 4.0MR1 1U 6911SBC WS Dell XE2 CBCT WS (non iCBCT/no GPUs/MV machine): Use Lab setup 1U 6911SBC WS Dell XE2 CBCT WS (non iCBCT/no GPUs/MV machine): Use Lab setup N/A"
60,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,19,"4.0MR1 4U 6911SBC WS (iCBCT/with 2 GPUs/KV machine): Use UX2/Lab setup 4U 6911SBC WS (iCBCT/with 2 GPUs/KV machine): Use UX2/Lab setup SN9 4U 6911SBC WS (iCBCT/with 2 GPUs/KV machine): Use SN3 or SN4 4.0MR1 4U 6911SBC WS (non-iCBCT/MV machine): Use Milpitas Lab setup 4U 6911SBC WS (non-iCBCT/MV machine): Use Milpitas Lab setup 4U 6911SBC WS (non- iCBCT/MV machine): Use Milpitas setup Design Transfer, Product Deliverables · System images need to be updated for delivering to factory and installation team. · HAL4.0 MR1 only upgrade software (no additional hardware upgraded), which means no impact on vendors. · HAL4.0 MR1 will change workstation image dash number. System version upgrade from 4.0 to 4.0.1. · The image in golden disk should be updated. · MI for software loading should be trained. Console, cage, cell test procedure and automation tooling are affected whose trainings are through EC cutting in Kemnath and Beijing."
61,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,19-20,"· HAL4.0 MR1 impacts on Beijing and Kemnath as showed below, but there is no impact on San Jose LSC. Doc # Description Main change in MI PCP impacted Impact site Kemnath、BJ D44776 Cell testing One screenshot needs update-3V N/A HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 20 of 34 · Details of changes are listed as below. Deliverable Production Changed Item Cut-In date Production EC# Location / Vendor P1055475 WORKSTATION IMAGES, HAL4.0 Change dash number from 001 to 002 for HAL4.0.1 software 5/10/2023  TBD VMS BJ P1055496 IMAGE, TREATMENT WORKSTATION Need roll version from D to E for HAL4.0.1 version software if need 5/10/2023  TBD VMS BJ P1055497 IMAGE, IRM WORKSTATION Need roll version from C to D for HAL4.0.1 version software if need"
62,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,20-21,"5/10/2023  TBD VMS BJ P1055498 IMAGE, SERVICE WORKSTATION Need roll version from C to D for HAL4.0.1 version software if need 5/10/2023  TBD VMS BJ P1058407 IMAGE, PBI, CR WORKSTATION Need roll version from C to D for HAL4.0.1 version software if need 5/10/2023  TBD VMS BJ P1058408 IMAGE, SBU, CR WORKSTATION Need roll version from C to D for HAL4.0.1 version software if need 5/10/2023  TBD VMS BJ P1055510 SOFTWARE BUILD, HAL4.0 Need roll version from C to D for HAL4.0.1 version software if need 5/10/2023  TBD VMS BJ P1055511 SOFTWARE PREREQUISITES, HAL4.0 Need roll version from C to D for HAL4.0.1 version software if need 5/10/2023  TBD VMS BJ P1055512 NLS SOFTWARE BUILD, HAL4.0 Need roll version from C to D for HAL4.0.1 version software if need 5/10/2023  TBD VMS BJ HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written"
63,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,21,"permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 21 of 34 Deliverable Production Changed Item Cut-In date Production EC# Location / Vendor P1050700 HAL SOFTWARES Update HAL4 SOFTWARE from P1055475001 to P1055475002  INSIDE P1050700 HAL SOFTWARES 5/10/2023  TBD VMS BJ P1033543 BASE MODEL ASSY, PRE-CELL； P1033543 Rev G update to Rev H to include the HAL4.0.1 version software 5/10/2023  TBD VMS BJ, VMS Kemnath Golden Hard Drive P1055475001 need to update to P1055475002 5/10/2023  TBD VMS BJ D44778 Cage Test- Configured MI Update CBCT Password 5/10/2023  TBD VMS BJ, VMS Kemnath D44807 IRM Workstation Assembly MI Golden Image Update - dash number update 5/10/2023  TBD VMS BJ D39704 Console Test MI Update CBCT Password 5/10/2023  TBD VMS BJ D39700 4U workstation assembling MI Golden Image Update - dash number update 5/10/2023  TBD VMS BJ 70001514 IRM Workstation Assembly PCP Update Golden HDD information for updated software"
64,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,21-22,"5/10/2023  TBD VMS BJ 70001435 PCP 4U Workstation Assembly PCP Update Golden HDD information for updated software 5/10/2023  TBD VMS BJ New Device Master Record TBD 5/10/2023  TBD TBD HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 22 of 34 CSS Documentation There will be STB(s) created for the field to perform the upgrade to HAL 4.0 MR1. The Services Plan SP-AL-Halcyon40 will be revised. There is no additional customer or internal training impact. Rollout Strategy To meet early HAL4.0 customer demand, we plan to build some v4.0 stocks in Beijing, EDC, and San Jose. The inventory will be updated to MR1 onsite. It helps reduce freight cost and mitigate tariff between China and US."
65,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,22-23,"Any customer (including CSP customers) who has received HAL 4.0 shall be upgraded to HAL 4.0 MR1. HAL 4.0 MR1 shall be the general availability release. Price Book and Sales Readiness Plans N/A. No changes required to the price book specific to the HAL 4.0MR1 software. Training of Sales and Order Processing Personnel NA. No additional training required specific to the HAL 4.0MR1 software. Supply Chain, Service Stock There is no hardware changed, therefore there is no material scrapped. Training of CSS Personnel No additional training required specific to the HAL 4.0MR1; the clinical details will be available in the customer release notes. Customer Training No additional training is needed specific to the HAL 4.0MR1 software; the changes will be documented in the customer release notes. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written"
66,"29 1276585  Customer Tenders (MVP, AUMC) - View only view of MPC > 1.5 Software Configuration Management > 1.5.4 SOUP (Continued)",3,23,permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 23 of 34
67,2. Requirements,1,23,None. No new requirements or specifications are being introduced.
68,2. Requirements > 2.1 Other Changes,2,23-24,"No other changes besides the list in section 1.1 The table below maps any CAPA, Complaint, Hazard, Requirement and DR as applicable: CAPA Complaint Hazard Req DR Description N/A HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 24 of 34 3. Risk, Hazard, and Safety Analysis"
69,2. Requirements > 3.1 Risk Management Plan,2,24,"The Risk Management Plan, D59555 is filed in the HAL 4.0 DHF."
70,2. Requirements > 3.2 Risk Analysis,2,24-25,"All the changes described in this document and their effects on the system, including external interfaces, were analyzed to assess whether any new hazards needed to be created or the risks associated with any existing hazards changed. HAL 4.0 MR1 is a maintenance release that address findings from the preclinical evaluation, customer facing issues and backlog items. None of these findings were determined to cause harm to the patient or user. No new hazards were identified, and no existing risks changed as a result of this release. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 25 of 34"
71,4. Regulatory Determination,1,25,Refer to Change Description CD0534-A Rev 05 and Country Filing Decisions CD0534-B Rev 02 for this release. HAL 4.0 MR1 will not impact type testing and will not trigger NMPA submission.
72,4. Regulatory Determination > 4.1 External Test Standards,2,25,"Only DR Fixes in this release, no effects on External Test standards."
73,4. Regulatory Determination > 4.2 NLS Implications,2,25-26,"No changes to supported languages. Only CRN will be translated per D51458 Dragon (HAL 4.0 – HAL 4.0 MR1) User Assistance Plan Rev 6. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 26 of 34"
74,5. Verification and Validation,1,26,"This section describes the verification and validation activities to be performed. It identifies the features that will be tested, testing tasks to be performed, testing criteria, environmental needs and dependencies. Refer to the V&V documentation in the DHF."
75,5. Verification and Validation > 5.1 Verification and Validation Plan,2,26,The changes defined in this document and any references to other design input documents provide the basis for the Verification Test Plan and the Validation Test Plan. For the Validation plan refer to D70753 HAL 4.0 MR1 Validation Plan Rev 01.
76,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.1 Anomaly resolution and reporting,3,26,Anomalies will be reported and resolved per DR/Issue Handling Work Instruction.
77,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.2 Pass/Fail Criteria,3,26,See DND08 Verification Work Instruction and DND09 Validation Work Instruction.
78,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.3 Acceptance criteria,3,26,The V&V effort will be considered complete when all activities defined in this Verification and Validation Plan have been performed and results have been documented. See DND08 Verification Procedure and DND09 Validation Procedure.
79,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.4 Devices to be Tested,3,26,The devices to be tested are: · HAL 4.0 MR1
80,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.5 System Dependencies,3,26-27,"The following interfacing system components or devices are required to conduct verification and validation testing for the project: o Halcyon Version 4.0 MR1 o Ethos Radiotherapy System o Eclipse System o ARIA System Versions 15.6, 16.1, and 17.0 HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 27 of 34"
81,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach,4,27,For the Validation plan refer to D70753 HAL 4.0 MR1 Validation Plan Rev 01.
82,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.1 Defect Testing,5,27,Defects will be reported to ADLM ADO and resolved per DND0102G01 ADLM Guidance.
83,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.2 Risk and Hazard Testing,5,27,"No new risks or risk control measures were identified, and no existing risks or risk control measures changed as a result of this release. Therefore, no new safety test cases were created, and no existing test cases were updated for verification. Existing safety related requirements were chosen to be re-verified based on the impact analysis."
84,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.3 Regression Testing,5,27,"Existing HAL test cases will be selected to run based on the impact analysis with regard to the changes made in HAL 4.0 MR1 including 4.0 MR1 development, Issue fixes, merge with True Beam, and compatibility with updates to ARIA and Eclipse. All safety and risk controls will be tested as a part of verification unless justification is provided. Regression analysis will be performed based on an opt in methodology, whereby requirements affected by HAL 4.0 MR1 will be identified along with a justification why regression testing is necessary. Linked test cases to those requirements will then be included in the HAL 4.0 MR1 regression test suite; all other HAL test cases will not be run for the HAL 4.0 MR1 release."
85,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.4 Test Automation,5,27,HAL 4.0 MR1 will utilize automation testing for stability testing and formal requirements testing.
86,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.4 Test Automation > 5.1.6.1.4.1 Stability Testing,6,27-28,"HAL test automation framework will be used to perform Halcyon ARIA stability testing, functional testing, Ethos adaptive workflow testing and machine stability automation. For automation, the delivery of various imaging and treatment techniques in clinical mode will be executed by an automation test framework. As per HAL current usage model approximately 100 patients are treated every day – where automation framework will be used to deliver 200 treatments to capture the performance counters. Note that the results of these automated tests are recorded outside of TFS, as they are not part of the formal requirements testing. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 28 of 34"
87,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.4 Test Automation > 5.1.6.1.4.1 Stability Testing (Continued),6,28,"The above automation test runs are documented by a summary report, which includes a description of the plans used for the runs, the number of sessions treated and the number of sessions that were not treated. This report also includes faults, warnings and errors that occurred and the disposition of these anomalies. The summary report should contain at least 100 hours of run time for each of the machines that automation is run on."
88,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.4 Test Automation > 5.1.6.1.4.2 Formal Requirements Testing,6,28,"Automation test cases for requirements testing will be developed and run for formal HAL 4.0 MR1 verification using FAST framework, and Python scripting language. In addition to the formal TFS test case review and approval process, the associated automation test scripts are code reviewed by representatives from the automation team and Halcyon PVE team to ensure that acceptance criteria is met, and sufficient objective evidence is referenced and logged. The results of this code review is recorded within TFS and has a unique review ID. The automation script code is checked in after successful completion of code review. Results of the automation runs will be recorded in TFS in the same test plan area as manual tests. Automated test runs will include the test environment information for the run, a pass/fail evaluation for each test step along with the results of that step, any supporting objective"
89,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.4 Test Automation > 5.1.6.1.4.2 Formal Requirements Testing (Continued),6,28,"evidence required, and an overall pass/fail evaluation for the test case (automated test runs will have the same information in TFS compared to manual test execution). The FAST automation framework along with the interface to TFS will be validated as a process tool prior to formal verification testing using test automation."
90,5. Verification and Validation > 5.1 Verification and Validation Plan > 5.1.6 Verification and Validation Activities > 5.1.6.1 V&V Approach > 5.1.6.1.5 Compatibility Testing,5,28,Verification testing will be performed to ensure the compatibility of HAL 4.0 MR1 with the following configurations: Product Group #1 Product Group #2 Product Name(s) Version Product Name(s) Version Halcyon (Non-Adaptive)
91,4.0 MR1,1,28,ARIA/Eclipse (MV Imaging 15.6 only) ARIA/ Eclipse16.1 ARIA/Eclipse17 Ethos (Adaptive)
92,4.0 MR1,1,28-29,"TPMS 1.0 MR1 TPMS2.0 MR1 Physician’s Intent2.0 Compatibility testing scope will be determined as part of the impact analysis. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 29 of 34"
93,4.0 MR1 > 5.1.6.1.6 NLS Testing,5,29,NLS testing to be performed based on the impact analysis.
94,4.0 MR1 > 5.1.6.1.7 Upgrade and Installation testing,5,29,The following table lists the upgrade configurations that will be tested during verification phase: No. HAL Configuration before Upgrade HAL Configuration after upgrade Notes 1 HAL 3.1 ARIA ConfigurationHAL 4.0 MR1 ARIA Configuration This configuration will test the upgrade from Halcyon 3.1 ARIA to Halcyon 4.0 MR1 ARIA setup. 2 HAL 4.0 ARIA ConfigurationHAL 4.0 MR1 ARIA Configuration This configuration will test the upgrade from Halcyon 4.0 ARIA to Halcyon 4.0 MR1 ARIA setup.
95,4.0 MR1 > 5.1.6.1.8 Test Strategy,5,29,Please refer to Section 5.1.6.1 V&V Approach of this document.
96,4.0 MR1 > 5.1.6.2 V&V Activities Table,4,29-30,"The following activities will be performed for this project: For the Validation activities refer to D70753 HAL 4.0 MR1 Validation Plan Rev 01. Activity Scope In Scope (Yes/No) Responsibility / Name / Department / Point of Contact Output Function, architecture, algorithm etc. FDD, CDD, FMEA, Test Strategy Design ReviewsYesEng: Dipesh Shah Eng: Steven Rose Eng: Jozef Veis Review Report Software code reviews YesEng: Dipesh Shah Eng: Steven Rose Eng: Jozef Veis Code review is performed as part of TFS work items. There are no separate code review reports. Eng: Dipesh Shah White box testingYes Eng: Steven Rose Eng: Jozef Veis Test Report Reliability testing No (There are no HW changes in this MR scope) N/A N/A HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign"
97,4.0 MR1 > 5.1.6.2 V&V Activities Table (Continued),4,30,"DND01F02 Rev 01 Page 30 of 34 Requirements, DRs, SyRS, SubSys, Test Strategy Functional Verification testing Eng: Dipesh Shah Yes Test Report SQE: David Wu Non-functional Verification No (Not in this MR scope) N/A N/A IEC Testing No (Not in this Regulatory MR scope) N/A N/A Clinical Data Evaluation No (Not in this MR scope) N/A N/A Scientific Literature Research No (Not part of this MR scope) N/A N/A Risk Management Report Verification of safety requirements Yes, if the test case(s) in the impact analysis (13, 14) is related to RCM. Eng: Krystina Szafran RMR Validation of effectiveness of safety requirements No (No change to RCM validation, Not part of this MR scope) N/A N/A Market Introduction Plan Upgrade and installation tests Yes PSE: Paul Ugalde PSE: Stephan Warfield SQE: David Wu TFS Test Logs Test Report LabelingVerification - Safety Labels, Warnings No SQE: David Wu Test Report Validation – Safety Labels, warnings No Validation: Laura Buchanan Test Report IFU, Reference Guides"
98,4.0 MR1 > 5.1.6.2 V&V Activities Table (Continued),4,30-31,"Yes Tech Pubs: Eric De Biasi IFU CRN Packaging Validation Manufacturing N/A Manufacturing: Hao Sun No need, reuse HAL4.0 Report 70002557 Process Validation Yes Manufacturing: Hao Sun To be evaluated after product validation is finished Golden MediaCreation, labeling Validation Yes HWDA: Tian Wei Test Report HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 31 of 34"
99,4.0 MR1 > 5.1.7 Environmental Needs,3,31,"This section identifies the necessary and desired test environments for verification testing, to ensure they are in place in time for the start of testing. Simulated use conditions are justified in the table below. Maintenance of the validation environment follows the process outlined in DND0913. For the Validation Environment refer to D70753 HAL 4.0 MR1 Validation Plan Rev 01, section 3 Environmental Needs. Note: Cell machines will be configuration controlled using SAP to ensure production equivalence. Formal test environments will have associated Test System Configuration Lists (TSCL) documentation. ID Test Environment DescriptionJustification for Simulated Use Conditions Cell A (SN3) Palo Alto Test Cell. Complete Halcyon 4.0 MR1 configured with old imager - (including covers and couch) capable of delivering MV and KV beam.  Access to ARIA database. No Sim and Treat capability. Device is production equivalent.  A phantom (or nothing) is"
100,4.0 MR1 > 5.1.7 Environmental Needs (Continued),3,31,"used in lieu of a patient during beam delivery.  Environment is suitable for validation and verification testing. Cell B (SN6) Baden Test Cell.  Complete Halcyon 4.0 MR1 (including covers and couch) capable of delivering MV and KV beam using advanced Imaging.  Capable of Sim and Treat workflow. (Machine has capability to switch between old and new KV imager). Device is production equivalent.  A phantom (or nothing) is used in lieu of a patient during beam delivery. Environment is suitable for validation and verification testing. Cell C (SN9) Baden Test Cell.  Complete Halcyon 4.0 MR1 (including covers and couch) capable of delivering MV and KV beam using advanced Imaging.  Capable of Sim and Treat workflow. (Machine has capability to switch between old and new KV imager). Device is production equivalent.  A phantom (or nothing) is used in lieu of a patient during beam delivery. Environment is suitable for validation and verification testing. Lab A (SQE1, SW1)"
101,4.0 MR1 > 5.1.7 Environmental Needs (Continued),3,31,"Palo Alto software lab (2):  Halcyon workstation and IRM computer and displays, with live view camera, CBCT reconstructor, XI imaging node, and Supervisor node. The Lab workstation is configured as production equivalent, including its interfaces to the supervisor node. The supervisor is simulating its interaction to other machine nodes (with the exception of imaging node).  Platform is suitable for verification of functional requirements of TXA, non-clinical mode apps, and IRM not directly associated with beam output, imaging, or beam quality. Lab B (SQE2, NLS2) Palo Alto software lab (3):  Halcyon workstation, Supervisor node, and XI imaging node. The Lab workstation is configured as production equivalent, including its interfaces to the supervisor node. The supervisor is simulating its interaction to other machine nodes (with the exception of imaging node).  Platform is suitable for verification of functional requirements of TXA,"
102,4.0 MR1 > 5.1.7 Environmental Needs (Continued),3,31-32,"non-clinical mode apps, not directly associated with beam output, imaging, live view camera, or beam quality. Also suitable for NLS testing. U/X Lab (UX2) Palo Alto U/X lab:  Halcyon workstation with DKB and Panel displays, Panel input devices, couch, bore collision detection, Supervisor node, STN node, Couch node, BGM node, pendant, CT reconstructor workstation, lasers, live view camera. U/X lab has production equivalent couch hardware, suitable for mechanical verification testing.  It also has production workstation, supervisor, STN, and user input devices, and is suitable for workflow testing involving patient positioning (align, load, shift, unload). Platform is suitable for verification of requirements not directly related to beam output, imaging, or beam quality. HAL 4.0 MR1 Maintenance Release Document This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written"
103,4.0 MR1 > 5.1.7 Environmental Needs (Continued),3,32,permission from Varian Medical Systems. Doc Number Rev. Date D69533 05 Date of last e-Sign DND01F02 Rev 01 Page 32 of 34
104,4.0 MR1 > 5.2 Verification Test Specification,2,32,The verification test procedures for Engineering and SQE can be found at the following TFS location: https://tfs-app.vms.ad.varian.com/VMS/1-VMS/_testManagement?planId=1238829
