sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
"Is there a defined structure for technical documentation, such as DHF, STED, or Technical File?",0.032466814,0.295557022,D96388 HAL 4.0 UA Legal Information (EU REP Change) UA Checklist Rev 01.docx.pdf,D96388,1,12,3.0 Checklist (Continued),4-5,"For hardware products, review the product drawings (bill of materials) for UA and Manuals Kits: - Verify Doc IDs - Verify Quantity (REF for MyVarian download, number if hardcopy (fulfilled via SAP and Purchasing). Note: N/A for software-only products or BrachyTherapy applicators. Done - 14 Oct 2025 CLOSEOUT  -- ARCHIVE UAP 39. Finalize the UAP noting the final UA versions (Doc IDs) and any significant changes to the scope, Localization, or distribution from the initial plan. - Get the revised UAP approved. - File the revised UAP in the DHF. Quality Plan # QP-2024- 14 Oct 2025 N/A 00067 Archiving 40. Archive source and supporting project development material per local requirements and VMS quality system, including Publication Notice, Review Report(s) and UA Checklist. Labeling, 14 Oct 2025 Done Publication Notices Upload Publication Notice and UA Checklist to GPLSee #40 Records Done 14 Oct 2025 41. Customer Documentation > Quality Records. Document Signing Page"
"Are all devices, including accessories, software, variants, and families, appropriately identified and included?",0.032405518,0.262966484,D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,75,4 on-board USB 3.0 ports > 2.5 Verification and Validation (验证与确认) > 2.5.1 Test and Review Types,39,"The extent of the V&V activities depends upon the type of test. Three different types are defined below: Module Test: Software Definition:A software module cannot be used on its own by the clinical operator. Software modules are integrated into higher level user applications/devices. Examples of software modules are patient explorer, OSP, drivers, and service analysis and deployment tools. Test Scope: Software modules which meet the definition above need to be qualified by verification tests only. There is no need to perform validation test because the validation is performed on the application/device where the component is integrated. However, testing of modules in the integrated environment may be useful. Integration Test: (Standalone Applications/Devices, Accessories) Definition:Integration Testing is the testing of standalone devices/applications and their accessories. Standalone applications/devices and specific accessories are complete devices with their own intended use."
What criteria are used to classify a product as a medical device under applicable regulatory jurisdictions?,0.03216145,0.400547326,D70154 HAL 4.0 Machinery Directive Checklist Rev 01.pdf,D70154,1,2,1. Checklist Form (Continued),2-3,"specifically to provide protection by means of a physical barrier; (g) ‘protective device’ means a device (other than a guard) which reduces the risk, either alone or in conjunction with a guard; (h) ‘intended use’ means the use of machinery in accordance with the information provided in the instructions for use; (i) ‘reasonably foreseeable misuse’ means the use of machinery in a way not intended in the instructions for use, but which may result from readily predictable human behavior. 1.1.2.  Principles of safety integration No Principles of safety integration specific to medical devices described in MDR Annex 1, GSPR 1, 3, 4, 5, 6, 7, 8, and EN14971 1.1.3.  Materials and products  No Covered MDR Annex 1, GSPR 10 1.1.4. Lighting  Yes To be addressed by EN14971 and in some cases portions of EN 60601-1;3rd ed. There are no serious hazards to the operator identified by the lighting of the Halcyon device. Varian Confidential Format L3689 Rev 02  Page 3 of 12 No. EHSR of MD 2006/42/EC"
How are updates and revisions to technical documentation controlled?,0.03204008,0.333627075,D84872 HAL 4.0 CRN UA Checklist.docx.pdf,D84872,,11,3.0 Checklist (Continued),4-5,"video quality, contact the IAS team or media producer. Click or tap to enter a date. 21. OLH verification OLH only: verify the Help’s technical function, following the D##### test report guidelines. - Record verification in the test report. Note the OLH DocID test Choose an item. report. Click or tap to enter a date. Revisions post- 22. Formal Review Revise per reviews. - Verify the accuracy and clarity of changed content with reviewers. Perform a second peer (editorial review) of any major content revisions made after the Formal Review. - Update the Review Report for resolution of the additional findings. - Record and justify any content updates or issues to be deferred to the next release. Click or tap to Choose an item. enter a date. UA Checklist Date Doc Number Revision Date of last D79949 1 eSign Varian Confidential DND0602T02 – UA Checklist This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company."
Is traceability established from requirements to design to verification and validation?,0.03204008,0.282544553,D53809-Tools Design and Development-kV collimator assembly tooling Rev 01.docx.pdf,D53809,1,22,5. Verification and Validation > 5.1 Test Plan > 5.1.1 Verification and Validation Activities,12,"Compatibility Testing NA. Since this fixture only design for VBJ factory for HAL 4.0 kV collimator assembling. no compatibility testing need. Test Strategy For this test plan mainly look at the implementation of functions, at the same pay attention to if there have any interference happen between product components and tooling fixture, any harm for operator or product. Operators Findings/Issues Results A No finding All four sets had successfully completed the assembly and the B No finding assembly finally passed the blade test C No finding D No finding V&V Activities Table The following activities will be performed for this project: Scope Activity In Scope (Yes/No) Responsibility / Name / Department / Point of Contact Output Design Design Reviews Yes Borislav Djurovic Approved Software code reviews Mechanical support No fixture, no software NA W hite box testing Mechanical support No fixture, no software NA Requirements Yes FEA Static analysis Section 3.1.1 Verification testing"
How is risk integrated into design and development activities?,0.03191915,0.320699513,D30241 Halcyon 2.0 Verification Plan Rev2.pdf,D30241,2,12,2. All check-ins are subject to check-in code review.,9,"3. Design reviews for implementation related to risk controls (RMR) The code reviewer will be recorded in TFS for each change-set created. The design reviews will be documented in review reports (LL40) or equivalent. FPGA code and design reviews include the following activities: 4. FPGA Risk analysis to identify FPGA code/designs that are related to risk controls (RMR) 5. Code/design reviews for implementation related to risk controls (RMR) The code and design review for FPGAs will be documented in review reports (LL40) or equivalent. 4.5Automation For machine stability statistics, the delivery of various imaging and treatment techniques in clinical mode will be executed by an automation test framework.  A code review for the automation framework will be performed and documented in a review report (LL40). Automation test runs are documented by a summary report, which includes a description of the plans"
How are product variants and configurations managed within technical documentation?,0.031618766,0.326868594,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,456,6. The MSO shall only be used to power the console cabinet (Continued),272,Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U a) the MEDICAL DEVICE SOFTWARE and CONFIGURATION ITEMS Procedures used: Saving items in product vault and escrow is included in DND19 Software Configuration Management Procedure Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Records retention policy for documents (including development testing and requirements) is specified in DOC0203 Quality Records Retention Schedule Device records: D45739 HAL 4.0 Design and Development Plan P b) the documentation Procedures used: Records retention policy for documents (including development testing and requirements) is specified in DOC0203 Quality Records Retention Schedule DND01 Design and Development Procedure discusses DOC0203 Quality Records Retention Schedule and records retention DND04T01 Design and Development Plan (DDP) references DND01 Design and Development Procedure Device records: D45739 HAL 4.0 Design and Development Plan P
"How are changes such as maintenance releases, configuration changes, or software updates evaluated to determine if design controls apply?",0.03149938,0.36542955,D51969 HAL 4.0 Change Request 1 Rev 01.docx.pdf,D51969,1,2,1. HAL 4.0 Change Request 1 > 1.1 Change Request,1,"Check which of the following items apply.   If any of the first five Change Types apply then a change request is mandatory.  The last three items in the table are considered optional and may be documented in a CR at the discretion of the program / project team.  The change shall be implemented only if approved by the individuals listed in Assessment & Approvals, section 1.2. Check Type of Change Threshold for creating CR  Functionality / Requirements (a) Major changes to design input requirement documents. (e.g PRD, SyRS) (b) Additional functionality after Design Input / Elaboration Phase Gate (c) Change to or removal of agreed functionality after Design Input / Elaboration Phase Gate (d) Change in compatibility  Design / Architecture Major change in architecture, design or interfaces.  Regulatory Major change in standard, Localization, CAPA, Submission Type.  Verification & Validation Major change in scope, approach or environment.  Risk Hazard Analysis"
"How does the organization ensure design controls are applied across the lifecycle for new, modified, and legacy devices?",0.03138043,0.311710864,D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,40,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),14,"device when it comes into contact with materials, liquids, and substances, including gases, to which it is exposed during normal conditions of use; d) the risks associated with the possible negative interaction between software and the IT environment within which it operates and interacts; e) the risks of accidental ingress of substances into the device; f) the risks of reciprocal interference with other devices normally used in the investigations or for the treatment given; and g) risks arising where maintenance or calibration are not possible (as with implants), from ageing of materials used or loss of accuracy of any measuring or control mechanism. EN ISO 13485: 2016 EN ISO 14971: 2019 EN 62366-1: 2015 EN 60601-1-6:2010 +A1:2013 EN 60601-1: 2006/A1:2013 EN 60601-1-2:2015 IEC 60601-2-1:2020 (EDITION 4.0) Design and manufacture are assured through the use of quality system standard EN ISO13485. Device safety is assured through the use of the"
Is technical documentation established and maintained for each device?,0.031321116,0.328811467,D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,100,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),32,"before installation. P1039628_Instructions for Use. MDR GSPR 3(23.4k) CMDR 21(i) AU EP 13.4(15, 16, 17) (k) the information needed to verify whether the device is properly installed and is ready to perform safely and as intended by the manufacturer, together with, where relevant:  details of the nature, and frequency, of preventive and regular maintenance, and of any preparatory cleaning or disinfection,  identification of any consumable components and how to replace them,  information on any necessary calibration to ensure that the device operates properly and safely during its intended lifetime, and  methods for eliminating the risks encountered by persons involved in installing, calibrating or servicing devices; EN ISO 20417:2021 The information is detailed in the accompanying documents. Customer Release Notes, CRN – P1039653. Halcyon and Ethos Radiotherapy System Instructions for Use, IFU P1039628 Halcyon and Ethos Radiotherapy System Quick Reference Guide, QRG P1039650"
Is each device uniquely identified and linked to its technical documentation?,0.03114383,0.338700414,D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,86,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),30,"packaging of multiple devices. ISO 15223-1:2016 All devices are clearly identified by the label. HAL ID Plates:  P1015412007 and  P1055560001 MDR GSPR 3(23.1c) CMDR 21 AU EP 13.2 (c) Labels shall be provided in a human-readable format and may be supplemented by machine- readable information, such as radio-frequency identification (‘RFID’) or bar codes. ISO 15223-1:2016 Labels are provided in human readable format and in machine-readable information (UDI). HAL ID Plates:  P1015412007 and  P1055560001 MDR GSPR 3(23.1d) CMDR 21, 22 AU EP 13.4 (d) Instructions for use shall be provided together with devices. By way of exception, instructions for use shall not be required for class I and class IIa devices if such devices can be used safely without any such instructions and unless otherwise provided for elsewhere in this Section. EN ISO 20417:2021 IFU is available on www.MyVarian.com and Quick Reference Guide is supplied as a hard copy. Suitability of electronic media covered by e-"
What criteria are used to classify a product as a medical device under applicable regulatory jurisdictions?,0.030733928,0.3177490533,D74625-AU-Classification_Linear_Accelerator_Halcyon Rev 01.pdf,D74625,1,18,Document_Header (Continued),6-7,"(3)(a) A device to monitor vital physiological parameters of a patient, and the nature of variations monitored could result in immediate danger to the patient. Class IIb N/A - The Linear Accelerator System is not an active medical device for diagnosis. (3)(b) A device to emit ionising radiation and to be used for diagnostic or therapeutic interventional radiology. Class IIb N/A - The Linear Accelerator System is not an active medical device for diagnosis. (3)(c) A device to control, monitor or directly influence the performance of a device in the previous entry. Class IIb N/A - The Linear Accelerator System is not an active medical device for diagnosis. Medical Device Classification for Australia Linear Accelerator System Revision Doc Number 01 D74625 Varian Confidential REG0504F04 Rev 03 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 7 of 12"
How is completeness and consistency of technical documentation ensured?,0.030733928,0.344145507,D69032 HAL 4.0 Validation Test Log Rev 01.pdf,D69032,1,134,2. Validation Test log (Continued),71,transport/storage/installation conditions. Confirm system packaging documentation ensures that system integrity maintained following specified transport/storage/installation conditions. Confirm that the system packaging documentation is clear and understandable to the user. System packaging documentation gives instructions on ensuring system integrity following transport/storage/installation (document and page no. as applicable) The system packaging documentation giving instructions on ensuring system integrity following transport/storage/installation is clear and understandable to the user. Document: RIG-AL-H pages 23 &24: System packaging documentation gives instructions on ensuring system integrity following transport/storage/installation. Passed Attachments: step5PG23.PNG Attachments: step5_PG24.PNG 6 RCM: Lift fixture for water tank AC600278: Support for remove/replace water tank. - Service documentation instructs personnel on lifting fixture to
Is each device uniquely identified and linked to its technical documentation?,0.029816542,0.305881739,D101280 106485676MIN-005  IEC60601-2-1 Ed.4.0 HAL4.0_30_APR_2026 Rev 1.pdf,D101280,1,16,"40 51st Way NE, Suite 100 (Continued)",11,"with their ACCOMPANYING DOCUMENTATION; N/A No such parts - that interchangeable devices are individually distinguishable to the OPERATOR both in NORMAL USE and for the purpose of obtaining replacements. N/A ⎯ 201.7.2.4 Accessories: For all interchangeable and non-adjustable BEAM LIMITING DEVICES (BLDs) and ELECTRON BEAM APPLICATORS, the dimensions of the GEOMETRICAL RADIATION FIELD at the REFERENCE TREATMENT DISTANCE (RTD) and the distance from the distal end to RTD shall be clearly legible on the outside of the device. No such parts N/A The dimensions of the GEOMETRICAL RADIATION FIELD at the RTD shall be clearly stated in the ACCOMPANYING DOCUMENTATION for all non-adjustable BLDs. No such BLDs N/A For adjustable devices, the minimum and maximum size of the GEOMETRICAL RADIATION FIELD at the REFERENCE TREATMENT PLANE shall be SPECIFIED in the ACCOMPANYING DOCUMENTATION No such parts N/A For any ACCESSORY supplied by the MANUFACTURER, the limitations of each device"
Does the documentation meet regulatory requirements for applicable markets?,0.02970375,0.439326465,D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,130,8.8 Brazil Marketing Clearance Strategy > 8.8.1 Brazil documentation requirements (Continued),63,"In country RA Representative for Coordination of product submissions & Rahul Umbarkar registrations for India India Primary Business Unit Regulatory representative Sara MuddellCoordination of various product submissions & registrations with Corporate Regulatory Affairs Kreig EcklundProvides engineering documentation for Engineering Project Manager product submissions/registrations. Dave Jensen, Jeff Everett, Engineering Lead Andres Graf Provides engineering documentation for product submissions/registrations. Bernard ZeeProvides verification & validation Software Quality Engineering Lead documentation for product submissions/registrations. Paritosh AmbekarProvides -marketing documentation for Product Marketing Manager product submissions/registrations; determines global marketing priorities. Susan KoehlProvides product documentation for product Product Manager submissions/registrations; provides input for global marketing priorities Lisa McGrathProvides Quality Assurance oversight for"
How is completeness and consistency of technical documentation ensured?,0.029090757,0.359059304,D84872 HAL 4.0 CRN UA Checklist.docx.pdf,D84872,,9,3.0 Checklist (Continued),3-4,"required for final DITA QA only.) - [For new content and as needed] Conduct peer and editorial reviews of content to verify style, clarity, consistency, information architecture, and Localization- readiness. Choose an item. Refer to the Varian Style Guide for style and consistency questions. Click or tap to enter a date. Conditions 15. display Set any conditions: - Verify they display the intended content correctly. - Include a key for reviewers to any conditions displayed. Click or tap to Choose an item. enter a date. UA Checklist Date Doc Number Revision Date of last D79949 1 eSign Varian Confidential DND0602T02 – UA Checklist This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 4 of 7 Task Task Description Done Justification if N/A; Notes Date # 16. Indexing Complete index for new or changed topics. Verify index's completeness"
"How are changes such as maintenance releases, configuration changes, or software updates evaluated to determine if design controls apply?",0.02838212,0.375447482,D52222 HAL 4.0 Change Request 2 rev 01.pdf,D52222,1,2,1. HAL 4.0 Change Request 2 > 1.1 Change Request,1,"• Check which of the following items apply.   If any of the first five Change Types apply then a change request is mandatory.  The last three items in the table are considered optional and may be documented in a CR at the discretion of the program / project team.  The change shall be implemented only if approved by the individuals listed in Assessment & Approvals, section 1.2. Check Type of Change Threshold for creating CR  Functionality / Requirements (a) Major changes to design input requirement documents. (e.g PRD, SyRS) (b) Additional functionality after Design Input / Elaboration Phase Gate (c) Change to or removal of agreed functionality after Design Input / Elaboration Phase Gate (d) Change in compatibility  Design / Architecture Major change in architecture, design or interfaces.  Regulatory Major change in standard, Localization, CAPA, Submission Type.  Verification & Validation Major change in scope, approach or environment.  Risk Hazard Analysis"
Is technical documentation established and maintained for each device?,0.027742893,0.305656075,D101280 106485676MIN-005  IEC60601-2-1 Ed.4.0 HAL4.0_30_APR_2026 Rev 1.pdf,D101280,1,23,"40 51st Way NE, Suite 100 (Continued)",14-15,"Exposure can also interfere with other medical devices attached to or implanted in your patient. Follow your facility’s guidelines for radiation hazards” P - the MANUFACTURER of such devices should be contacted for more information, From IFU (P1039628): “Contact the manufacturer of the device about possible damage that may occur from a linear accelerator. If possible, provide the model number and serial number.” P Page 15 of 102                            Report No. 106485676MIN-005 IEC 60601-2-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_2_1I - the device should be checked for correct operation after the IRRADIATION From IFU (P1039628): “Instruct patients using implanted or ambulatory electronic devices to notify their health care provider if they observe any evidence of device malfunction after treatment.” P 201.7.9.2.5 ME EQUIPMENT description Addition: P The MANUFACTURER shall provide in the ACCOMPANYING DOCUMENTATION a method"
"Is there a defined structure for technical documentation, such as DHF, STED, or Technical File?",0.02763772,0.3123326,D54550 HAL 4.0 Validation Plan Rev 05.docx.pdf,D54550,5,74,4. Validation Processes > 4.4 Anomaly Management (Continued),33-34,"Summary Report and stored in the Device History File (DHF). HAL Treatment Delivery Platform 4.0 Validation Plan This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of Last D54550 05 eSign DND09T01 Rev 03   Page 34 of 36"
Does the organization have documented design and development procedures compliant with applicable regulations?,0.027532939,0.362793624,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,435,6. The MSO shall only be used to power the console cabinet (Continued),253,"components (hardware or software), as well as any interfaces between SOFTWARE UNITS, detailed enough to implement each SOFTWARE UNIT and its interfaces correctly Procedures used: Interface detailed design is documented in the DND05T01 System Requirements Specification (SyRS) DND06T02 Feature Design Description (FDD) DND06T03 System Design Description (SyDD) Device records: D63662 HAL 4.0 System Requirements Specification D64910 HAL 4.0 System Design Description P 5.4.4 [C] The MANUFACTURER verifies and documents that the software detailed design: P a) implements the software ARCHITECTURE Procedures used: Verification and documentation are addressed during document review and approval process for the DND05T01 System Requirements Specification (SyRS) DND06T02 Feature Design Description (FDD) DND06T03 System Design Description (SyDD) Device records: D63662 HAL 4.0 System Requirements Specification D64910 HAL 4.0 System Design Description P"
Is traceability established from requirements to design to verification and validation?,0.02727267,0.292458028,D40348 HAL 4.0 TSCL for SN 4 Release 4.00.0122 Rev14.pdf,D40348,14,4,4.0 verification and validation testing.,4,"Verification Testing Halcyon SN4 was built per Pre-production Phase I (Silver) DMR, and is maintained in the production equivalent configuration using Discrepancy Report (DR) Handling and Engineering Change (EC) and QNotes processes. Issues that are found during testing are logged as DRs, and the impact to verification and validation testing is assessed. This assessment defines whether the part needs to be replaced or reworked in the machines after implementation of the design change. This decision is documented in the DR. The hardware changes are implemented, and the final material dispositioning (per DR) is done via EC process. Upgrades are performed per the information in ECs and DR and are documented in QNotes system. The Device Parts List of the verification devices is captured at the time of build, and before verification TRR. Validation Testing Halcyon SN4 was upgraded to the final production equivalent configuration (defined by Gold DMR)."
"How are changes such as maintenance releases, configuration changes, or software updates evaluated to determine if design controls apply?",0.027014792,0.374292612,D89591 HAL Evolve Product Technical Requirements Rev01.docx.pdf,D89591,1,8,3. BB is not used (Continued),4-5,"IOS); major new clinical functions or major performance enhancements in medical data handling; changes in security changes in software safety class (A, B, C) or in mandatory standards, safety hazards or innovative workflow altering user habits Examples of minor release changes would include additional enhancements that do not affect security, safety, or effectiveness. Corrective updates are examples of maintenance release changes including immediate fixes (hot fixes). D89591 HAL Evolve Product Technical Requirements This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Effective Doc NumberRev Date Date of D8959101 last esign 5 / 71"
"Are all devices, including accessories, software, variants, and families, appropriately identified and included?",0.026810195,0.256688654,D56979 HAL 4.0 Risk Management Report rev07.pdf,D56979,7,240,6.0 Metrics and Trends (Continued),81,"treatment device setup 404209 Treatment accessories or treatment delivery system parameters are not set appropriately. Treatment accessories or treatment delivery system parameters are not set appropriately and the treatment device is set using parameters and accessories that are not suitable for the patient. Patient receives extra imaging or treatment radiation dose. 860925 Human factors Essential performance Human Factors: Treatment delivery system parameters are not set appropriately Causal Factors: Wrong imaging mode selected by treater to position patient Wrong beam modifier/accessory selected by treater Patient treatment injury: Severity 1-Negligible: Secondary malignancies due to unsuitable imaging radiation dose. 2-Remote 1-Negligible Low 393688 - Inherent safety by design: Dose levels of different modalities are not high enough to cause serious harm 393926 - Protective measure: Core beam parameters are mandatory by DICOM RT, and the plan is rejected by TXA if"
Who has responsibility for maintaining technical documentation?,0.026506126,0.291701883,D10532 HAL Glossary Rev 13.0.docx.pdf,D10532,13,44,3. Actors Guide for Halcyon > 3.1 Primary Actors (Continued),23,"hardware. Typically, the Hospital Technician is the first line of support before contacting the Customer Support Representative and /or will work with the Customer Support Representative to help resolve hardware issues.  The Hospital Technician would be expected to attend a training program provided by a vendor or will obtain on the job training during installation and servicing. The Hospital Technician is not responsible for maintaining clinical correctness of the hardware, only the operation of the hardware. Americas: Biomedical Engineer, Physicist, 3rd Party Contractor APAC: Biomedical Engineer, Physicist, 3rd Party Contractor EMEA: Biomedical Engineer, Physicist, 3rd Party Contractor In the Instructions for use, this actor supports maintenance activities and is referred to as the maintenance technician. Patient: In Oncology, person suffering from a malignant disease or other non-malignant diseases"
"How does the organization ensure design controls are applied across the lifecycle for new, modified, and legacy devices?",0.026405517,0.31111756,D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,21,"40 51st Way NE, Suite 100 (Continued)",12,"SPECIFICATION  ..................................................................... : Document References in USABILITY ENGINEERING FILE, including any FORMATVE EVALUATION or required training strategy Summative Usability Test Plan [D67097] Usability Engineering File [D68994] Instructions for Use [P1039628-001-A] GOPS Services Plans [SP- GE-Halcyon40-A] P Where new USE ERRORS, HAZARDS, HAZARDOUS SITUATIONS or HAZARD-RELATED USE SCENARIOS are discovered during this step the MANUFACTURER shall repeat the steps of Clause 5 as appropriate User Centered Design (UCD) process is part of Product Life Cycle (PLC) process as described generally in DND01 Design and Development Procedure and specifically in DND17 User Centered Design Integration into PLC Planned activities were recorded in the Design and Development Plan [D45739] Usability Engineering File [D68994] P If training on the specific MEDICAL DEVICE is required for the safe us of the MEDICAL DEVICE by the"
Who has responsibility for maintaining technical documentation?,0.026305279,0.304552406,D57043 HAL 4.0 User Needs and Detailed Workflows Rev 2.0.docx.pdf,D57043,2,139,"15. User defined CBCT modes can be exported, imported, or deleted. > 5.2 Performing Procedures > 5.2.2 Maintaining Operation of the System",67-68,"User Need 512053: Customer facing documentation provides clear and accurate information to complete the tasks at hand 1. The Hospital Technician can perform basic maintenance on the system.  Fill the water  Fill the gas  Replace the camera o Calibrate Patient Motion Monitoring o Adjust the camera settings  Adjust the ambient lighting  Perform basic troubleshooting o Start the service application o Understand and Acknowledge fault and routine interlocks o Reboot or recycle power to the nodes o Initialize Axes  Shutdown the system manually  Bring up the system from power off HAL 4.0 User Needs and Detailed W orkflows This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D57043 2.0 Date of eSign Format LL00000028 Rev 03 Page 68 of 72 6. Appendix A: User Need Status User needs were exported on Nov 11, 2021 ID Work Item Type"
Is each device uniquely identified and linked to its technical documentation?,0.026205415,0.244130817,D69516 Hal 4 Therapy Readiness Check  AAMI RT2 2017.pdf,D69516,,21,Document_Header (Continued),11,"Page 11 of 12 Report No. D69516 TRF No. AAMI RT2 Reliable use of a barcode reader depends on the 6.5.3.3 diligence of a competent OPERATOR to verify the correct placement of the ACCESSORY device being used. Whenever practicable, a barcode reader should be used in combination with an electro-mechanical sensor(s) to detect not only that the correct device is used but also that it is properly attached and aligned. N/A 6.5.4 RFID or other technology No accessories or beam modifying device is supported N/A ACCESSORY devices that are not otherwise electronically 6.5.4.1 interfaced to the TDS may utilize RFID chips in or on the device, together with an automatic RFID reader, to detect, identify, and locate those ACCESSORY devices. N/A Regardless of how an RFID chip is attached, a clearly 6.5.4.2 legible, human readable label or marking that uniquely matches the screen display identifier for that ACCESSORY (e.g., an ACCESSORY code) shall be included, and"
"How are changes such as maintenance releases, configuration changes, or software updates evaluated to determine if design controls apply?",0.025908021,0.322654217,D77160 HAL 4.0 Ethos with standard kV imager MRD Rev 05.docx.pdf,D77160,5,15,4.0 Ethos with standard kV imager. > 1.3 Project Management Process > 1.3.2 Design Control,10,"MRD scaling option C justification · This is a commercialization release · The release does not introduce new functionality · This release does not impact the product version · The release has no functional impact on the devices with which it interfaces, which means it is system and release independent. · There are no software or hardware changes"
Are these procedures consistently applied to all identified devices?,0.025809623,0.350477338,D45070 Hal 4 Applicable Product Standards Rev 2.docx.pdf,D45070,2,12,2. Standards Evaluation > 2.1.1  Applicable Standards (Continued),7-8,"devices (ISO 14971:2007, Corrected version 2007- 10-01) Design and Development Procedure LL00000101; Medical Device Risk Management LL00000107 Item is not tested, it is verified by following SOPs Following Varian procedures ensures compliance with this standard. There are no separate test reports specific to the product being evaluated. Published to EU Official Journal for Medical Devices HAL 4.0 Applicable Product Standards This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date D45070 2 date of last e-sign Format L00003413 Rev 08        Page 8 of 95 # Applicable/ Not Applicable Document Identifier Title Evidence Tested by Comments/ Justification x Applicable 2.1.-  Not Applicable 10 ISO 15223-1:2016 Medical devices - Symbols to be used with medical device labels, labelling and information to be supplied - Part 1: General requirements"
Are these procedures consistently applied to all identified devices?,0.025419652,0.301503718,D47457 HAL 4.0 APS Record Rev 04.docx.pdf,D47457,4,52,3.0 Summary of Applicable Standards and Guidance documents > 3.1 Applicable Standards (Continued),19,Page 19 of 39 # Applicability Identifier Applicable Nat'l Adoption Applicable Version Title SME function  Evidence required  Comments 3.1.97 Applicable 21 CFR 820.65N/A28 July 2025US: TraceabilityQuality Assurance SOPsFollowing Varian procedures ensures compliance with the regulation. 3.1.98 Applicable 21 CFR 820.130N/A28 July 2025US: Device packagingEngineering SOPsFollowing Varian procedures ensures compliance with the regulation. 3.1.99 Applicable 21 CFR 860N/A28 July 2025US: Medical Device Classification ProceduresRegulatory Affairs Internal Report/ Certification Following Varian procedures ensures compliance with the regulation. 3.1.100 Applicable SOR/98-282 Section 6-7 N/A31 May 2025Canada: Medical Devices Regulation Classification of Medical Devices Regulatory Affairs Internal Report/ Certification Following Varian procedures ensures compliance with the regulation. 3.1.101 Applicable SOR/98-282 Sections N/A31 May 2025Canada: Medical Devices Regulation Part 1 Section 10- 20
"How does the organization ensure design controls are applied across the lifecycle for new, modified, and legacy devices?",0.025178842,0.335605204,D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,46,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change) > 2.4.1 Lifecycle Summary (Continued),25,"required activities and deliverables are completed as defined, and that the device satisfies user needs and intended use and that it is completely translated into manufacturing specifications. Note: Any amendments to the required activities and deliverables shall be documented in the Design Transfer Review and approved by MER."
How does the organization determine which products/devices are subject to design and development controls?,0.024750972,0.342510313,104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,399,4 Supply voltage: (Continued),240-242,Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Rev 06.docx P Page 240 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — e) when the items are to be placed under configuration control Procedures used (Appendix A): DND19 Software Configuration Management Procedure Rev 02 describes timing and sequence of steps. Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Rev 02. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Rev 06.docx P Page 241 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — f) when the problem resolution PROCESS is to be used Procedures used (Appendix A): DND19 Software Configuration Management Procedure Rev 02 references DND01 Design
