source,document_id,revision,chunk_index,title,page,folder_type,subfolder,score,rerank_score,text_content
D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,3,2. Canada Medical Device Regulations (CMDR) – 2024-12-14,2-3,Regulatory,International Submission Dossier,,,"Canadian Medical Device Regulation (SOR/98-282) Safety and Effectiveness Requirements https://laws-lois.justice.gc.ca/PDF/SOR-98-282.pdf 3. Australia Therapeutic Goods (Medical Devices) Regulations 2002 – F2024C00570 01 July 2024 Schedule 1 Essential Principles (AU EP) https://www.legislation.gov.au/F2002B00237/latest/text Checklist for MDR GSPR, Canadian MDR, and Australian Essential Principles [Device Name] Revision Doc Number 2 D70060 Varian Confidential REG0507F08 Rev 04 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 3 of 45 ClauseMDR General Safety and Performance Requirements StandardsCompliance Assessment Report Reference MDR GSPR CH 1 GENERAL REQUIREMENTS MDR GSPR 1(1) CMDR 10 AU EP 1, 3 Devices shall achieve the performance intended by their manufacturer and shall be designed and manufactured in such a way that, during normal"
D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,5,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),3,Regulatory,International Submission Dossier,,,possible by following the usability standard IEC 60601-1-6 the risk management standard ISO 14971. The conclusion of the risk analysis indicates that the benefits outweigh the risks. The use of the Medical Electrical Equipment Series EN IEC 60601 standards assures the device’s safety and performance. ISO 13485 cert MD 519160- Beijing ISO 13485 cert FM 72862- Palo Alto Verification Summary Report:  D68588 Validation Summary Report: D68014 Risk Management Report (RMR): D56979 EN 60601-1 Test Report: 106485676MIN-001 EN 60601-1-2 Test Report: 105008743MPK-002 EN 60601-1-6 Test Report: 106485676MIN-002 IEC 60601-2-1 Test Report: 106485676MIN-005 D69193 EN 62366 Test Report MDR GSPR 1(2) CMDR 10 AU EP 1 The requirement in this Annex to reduce risks as far as possible means the reduction of risks as far as possible without adversely affecting the benefit-risk ratio. EN ISO 13485: 2016 EN ISO 14971:2019 +A11:2021 The use of the quality system standard EN ISO
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,39,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),14,Regulatory,Essential Requirements Checklist,,,"It may not be copied or reproduced without prior written permission from Varian. Page 14 of 40 IEC 60601-2-1:2020 (EDITION 4.0) HAL is designed and tested for compatibility with Eclipse Treatment Planning , Aria Radiation Therapy Management and ethos Treatment Management. MDR GSPR 2(14.2) CMDR 16 AU EP 9.2 Devices shall be designed and manufactured in such a way as to remove or reduce as far as possible: a) the risk of injury, in connection with their physical features, including the volume/pressure ratio, dimensional and where appropriate ergonomic features; b) risks connected with reasonably foreseeable external influences or environmental conditions, such as magnetic fields, external electrical and electromagnetic effects, electrostatic discharge, radiation associated with diagnostic or therapeutic procedures, pressure, humidity, temperature, variations in pressure and acceleration or radio signal interferences; c) the risks associated with the use of the"
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,41,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),14,Regulatory,Essential Requirements Checklist,,,"standards for Medical Electrical Equipment series EN 60601 Risk is evaluated through the use of ISO14971. Operator controls have been designed considering Usability and ergonomics as per usability standards 62366 and 60601-1-6 The RF Generation system is designed to withstand 3 times the working pressure in event of fault with the relief valve. Risks associated with magnetic fields, external electrical and electromagnetic effects, electrostatic discharge and reciprocal interference have been minimized by design and have been tested according to IEC 60601-1-2. N/A - maintenance and appropriate calibration are performed during routine preventive maintenance. Verification Summary Report: D68588 Validation Summary Report: D68014 Risk Management Report (RMR):  D56979 EN 60601-1 Test Report: 104993953MIN-001 D69193 EN 62366 Test Report EN 60601-1-6 Test Report: 104993953MIN-006 EN 60601-1 Test Report: 104993953MIN-001 EN 60601-1-2 Test Report: 105008743MPK-002 BS EN 60601-2-1 Test Report:"
D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,20,"40 51st Way NE, Suite 100 (Continued)",11-12,Regulatory,Test Reports - Regulatory Compliance,,,"Summative Usability Test Reports [D68525, D68527] P A summary of any selection scheme, the rationale for its use and the results of applying it shall be stored in the USABILITY ENGINEERING FILE Document Reference No. in USABILITY ENGINEERING FILE: Usability Engineering File [D68994] P 5.6 The MANUFACTURER shall establish and maintain a USER INTERFACE SPECIFICATION See Appended Table 5.6  P 5.7 The MANUFACTURER shall establish and maintain a USER INTERFACE EVALUATION plan for the USER INTERFACE See Appended Table 5.7 P Page 12 of 22                                    Report No.106485676MIN-002 Error! Reference source not found. ANNEX I -  IEC 62366-1:2015, AMD1:2020 – Usability engineering process checklist Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1_6L 5.8 The MANUFACTURER shall design and implement the USER INTERFACE, including the ACCOMPANYING DOCUMENTATION if needed, and training capability, if needed, as described in the USER INTERFACE"
D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,22,"40 51st Way NE, Suite 100 (Continued)",12-13,Regulatory,Test Reports - Regulatory Compliance,,,"intended USER, the MANUFACTURER shall design and implement a training capability for the EXPECTED SERVICE LIFE of the MEDICAL DEVICE by doing at least one of the following: Manufacturer provides training and training material for this device. Training Plan is included in the Services Plan GOPS Services Plans [SP- GE-Halcyon40-A] P - provide the materials necessary for training; Training Plan is included in the Services Plan GOPS Services Plans [SP- GE-Halcyon40-A] P - ensure the materials necessary for training are available; Training Plan is included in the Services Plan GOPS Services Plans [SP- GE-Halcyon40-A] P - make the training available; or Training Plan is included in the Services Plan GOPS Services Plans [SP- GE-Halcyon40-A] P Page 13 of 22                                    Report No.106485676MIN-002 Error! Reference source not found. ANNEX I -  IEC 62366-1:2015, AMD1:2020 – Usability engineering process checklist Clause Requirement + Test Result - Remark Verdict"
D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,45,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change) > 2.4.1 Lifecycle Summary (Continued),24-25,Regulatory,,,,"MER. The design input at the conclusion of the Construction phase consists of the documented requirements, excluding the requirements reported as “missing functionality” at the phase. 2.4.1.4 Transition Halcyon/Halcyon Evolve China Medical Device Software Description Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc NumberRev. Date Last date D7003603 of e-sign Format L10684 Rev 02  Page 25 of 50 The goal of the Transition phase is to transfer the device from design to manufacturing, prepare manufacturing for routine production, and Customer Support Services with training and servicing specifications so that devices can be repeatedly and reliably produced, installed, and serviced. The completion of the Transition phase will be reviewed during the Design Transfer Review to ensure that all the"
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,10,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),4-5,Regulatory,Essential Requirements Checklist,,,"13485 assures design and manufacture quality. The risk management standard ISO 14971 was followed to evaluate and mitigate risks. Verification Summary Report: D68588 Validation Summary Report: D68014 Risk Management Report (RMR): D56979 EN 60601-1 Test Report: 104993953MIN-001 EN 60601-1-6 Test Report: Clause   MDR General Safety and Performance Requirements  Standards  Compliance Assessment  Report Ref. & Issue or Date Varian Confidential REG0507F08 Rev 01 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 5 of 40 intended users (design for lay, professional, disabled or other users). 104993953MIN-006 D69193 EN 62366 Test Report MDR GSPR 1(6) CMDR 13 AU EP 4 The characteristics and performance of a device shall not be adversely affected to such a degree that the health or safety of the patient or the user and, where"
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,12,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),5,Regulatory,Essential Requirements Checklist,,,"104993953MIN-002 MDR GSPR 1(7) CMDR 14, 16 AU EP 5 Devices shall be designed, manufactured and packaged in such a way that their characteristics and performance during their intended use are not adversely affected during transport and storage, for example, through fluctuations of temperature and humidity, taking account of the instructions and information provided by the manufacturer. EN ISO 13485: 2016 EN ISO 14971: 2019 Package Validation testing has been completed to show effectiveness of packaging at protecting devices in transport. Expected Lifetime analysis takes into account effect of radiation, humidity and temperature on the lifetime of the device. D42419 Package Validation Report Monitor. D26380 Package Validation Report HAL system and Components. D36792_Halcyon_2.0_System_P ackaging_Validation_Report D40882_Halcyon_H2.0_MR4U_ Packaging_Validation_Report D42421_Packaging_Validation_ Report_Bore_Cover D42433_Hal_3.0_Utility_Crate_ Packaging_Assessment"
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,447,4 Supply voltage: (Continued),280-281,Regulatory,Test Reports - Regulatory Compliance,,,"5.8.4 [A, B, C] The MANUFACTURER documented the VERSION of the SOFTW ARE PRODUCT that is being released Procedures used (Appendix A): Software version being released is documented in the DND08T02 Verification Summary Report Rev 01 and DND09T02 Verification Summary Report Rev 02. Device records (Appendix B): D68588 Hal 4.0 Verification Summary Report Rev 01 D68014 HAL 4.0 Validation Summary Report Rev 01 P Page 280 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — 5.8.5 [B, C] The MANUFACTURER documents the procedure and environment used to create the released software Procedures used (Appendix A): The electronic Device Master Record Index (DMRI) documents the production procedures and environment used for the released software Electronic Device Master Record Index eDMRI Device records (Appendix B): Electronic Device Master Record (eDMR) is stored in"
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,449,4 Supply voltage: (Continued),282-283,Regulatory,Test Reports - Regulatory Compliance,,,is documented in the DND04T01 Design and Development Plan (DDP) Rev 02. Records retention policy for documents (including development testing and requirements) is specified in DOC0203 Quality Records Retention Schedule Rev 07. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Rev 06.docx P b) the documentation Procedures used (Appendix A): Records retention policy for documents (including development testing and requirements) is specified in DOC0203 Quality Records Retention Schedule Rev 07 DND01 Design and Development Procedure Rev 02 discusses DOC0203 Quality Records Retention Schedule Rev 07 and records retention. DND04T01 Design and Development Plan (DDP) Rev 02 references DND01 Design and Development Procedure Rev 02. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Rev 06.docx P Page 282 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S
D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,12,"40 51st Way NE, Suite 100 (Continued)",7-8,Regulatory,Test Reports - Regulatory Compliance,,,"monitoring, and maintenance of the USABILITY ENGINEERING PROCESS See attached IEC 62366-1 ANNEX I P Inspection of the USABILITY ENGINEERING FILE verified that the MANUFACTURER demonstrated compliance with IEC 62366-1:2015+A1:2020. P 5 ME EQUIPMENT ACCOMPANYING DOCUMENTS P The instructions for use shall contain a summary of the USE SPECIFICATION as specified in IEC 62366- 1:2015, AMD1:2020, Clause 5.1 P1039628-001-A P The same information is also included in the technical description, if this is provided as a separate document from instructions for use P Page 8 of 22                                    Report No.106485676MIN-002 Error! Reference source not found. ANNEX I -  IEC 62366-1:2015, AMD1:2020 – Usability engineering process checklist Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1_6L 4 PRINCIPLES P 4.1.1 The MANUFACTURER shall establish, document, implement and maintain a USABILITY ENGINEERING PROCESS, as defined in Clause"
D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,14,"40 51st Way NE, Suite 100 (Continued)",8-9,Regulatory,Test Reports - Regulatory Compliance,,,"of ISO 13485:2016, it shall incorporate the appropriate parts of or reference the USABILITY ENGINEERING PROCESS. P Compliance with this subclause to exist when the requirements of this International Standard have been fulfilled. P 4.1.2 To reduce use-related RISK, the MANUFACTURER shall use one or more of the following options, in the priority listed (as required by ISO 14971:2019, 7.1): D59555 HAL 4.0 Risk Management Plan D56979 HAL 4.0 Risk Management Report P Page 9 of 22                                    Report No.106485676MIN-002 Error! Reference source not found. ANNEX I -  IEC 62366-1:2015, AMD1:2020 – Usability engineering process checklist Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1_6L P a) inherently safe design and manufacture; b) protective measures in the MEDICAL DEVICE itself or in the manufacturing PROCESS; and P c) information for SAFETY and, where appropriate, training to USERS. P When, in accordance with the priorities of 4.1.3"
D78266 HAL 4.0 External Software Environment Assessment Report Rev01.docx.pdf,D78266,1,28,5. Risk Management (Continued),15-16,Regulatory,Test Reports - Regulatory Compliance,,,"(TRRs) are held to ensure that all prerequisites have been met before starting formal verification or validation testing. Test execution and defect verification continues until the product quality is acceptable for Design Output. Figure 1 shows the overall V&V planning process starting with the Verification and Validation Plans. From there, multiple Test Design Strategy documents, Test Specifications, Test Reports/Logs, and Trace Matrices may be created. The final V&V results are documented in the Verification and Validation Summary Reports. Verification and Validation Leads create the Verification and Validation Plans and Summary Reports and all groups responsible for verification or validation activities during a project create Test Design Strategy documents, Test Specifications, Test Reports/Logs, and Trace Matrices. Ethos 4.0 External Software Environment Assessment Report This document contains confidential, proprietary information of Varian"
D78266 HAL 4.0 External Software Environment Assessment Report Rev01.docx.pdf,D78266,1,30,5. Risk Management (Continued),16,Regulatory,Test Reports - Regulatory Compliance,,,"There are two high-level categorization of post-market cybersecurity incidents. First, there are cybersecurity incidents that involve the possible exploit of potential Varian product vulnerabilities. Secondly, there are incidents that involve the exploit of vulnerabilities in customer operating environment (non-Varian). Varian has both cybersecurity-specific and non-cybersecurity-specific practices in place to support customers and respond to cybersecurity incidents of both categories in the post market phase. The product security team is involved in both practices. The team acts as an interface to identify incidents where both potential customer environment vulnerabilities and potential Varian product vulnerabilities are at play. As an example, there was a cybersecurity incident involving multiple customers in Europe. The customers are all part of a private clinic group and share the IT backbone. One of the customers"
D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,7,2. Risk Control Measures Verification Trace Matrix (Continued),5-6,Risk Management,Risk Management Reports,,,"from couch top to base of couch TDS.Halcyon30.System.TRR_03.00.0031 558807 Halcyon Default Passed NA 393674 The couch maintains its lat/lon position at all times except when external force overpowers holding force. While external force overpowers holding force, couch movement will be gradual slippage so th 395955 Couch LAT and VRT Dynamic Braking 450853 Dynamic braking HAL40_SYSTEM_REL_04.00.0012 1167690 Halcyon Default Passed NA 393674 The couch maintains its lat/lon position at all times except when external force overpowers holding force. While external force overpowers holding force, couch 396033 Force to Move Couch Top in Power Fail Condition 450179 Power fail force to move couch top TDS.Halcyon30.System.TRR_3.0.31.5 475123 Halcyon Default Passed NA HAL 4.0 Risk Control Measures Trace Matrix This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems."
D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,9,2. Risk Control Measures Verification Trace Matrix (Continued),6,Risk Management,Risk Management Reports,,,393679 Low Couch home position for ease of mounting/dismounting 396021 Lowest Nominal Powered Vertical Height 786444 CCH travel ranges TDS.Halcyon31.System.TRR_03.01.0005 727326 Halcyon Default Passed NA 393680 Design of interface for couch top index indents to provide secure attachment of loc bar/immobilization devices 394317 Accessories Interface 605342 Design Control - CCH - Couch top accessories interface  TDS.Halcyon30.System.TRR_03.00.0031 558784 Halcyon Default Passed NA 393681 Couch manual retract handles designed to prevent entrapment 394642 Handle Design 605418 Design Control - CCH - Couch top handle shall be designed to maintain gap for hands  TDS.Halcyon30.System.TRR_03.00.0031 558805 Halcyon Default Passed NA 393682 Support for attachment of transport tooling 394644 Lifting features 605420 Design Control - CCH - lifting features to support movement during manufacturing and installation TDS.Halcyon30.System.TRR_03.00.0031 558808 Halcyon Default Passed NA
D68492 HAL 4.0 Validation Test Results  Interim Rev 01.docx.pdf,D68492,1,45,1. HAL 4.0 Validation Test Design Strategy – D64929 (Continued),16,Design Validation,Test Reports,,,100% IGRT required 456386 100% IGRT required 452317 54 Imaging Related Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1270043 Halcyon Default Passed NA 393884 22 Risk Control Measure User visualizes structure set overlay on reference image 468888 Visualize structure set overlaid on reference image 964500 90 Treatment with Manual Beam Hold Technique Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1262216 Halcyon Default Passed NA 393894 16 Risk Control Measure Patient Name and ID confirmed in room 451799 Patient Name and ID confirmed in room 960385 24 Treatment session with Bolus  Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1269372 Halcyon Default Passed NA 393895 16 Risk Control Measure Optional patient information can be reviewed in room 451800 Optional patient information can be reviewed in room 960385 24 Treatment session with Bolus  Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1269372 Halcyon Default Passed NA 393896 15 Risk Control Measure Enforce use of verification tool before applying match
D68492 HAL 4.0 Validation Test Results  Interim Rev 01.docx.pdf,D68492,1,47,1. HAL 4.0 Validation Test Design Strategy – D64929 (Continued),16,Design Validation,Test Reports,,,"451805 Intercom to audibly monitor patient 452321 60 Treatment with OSS Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1273709 Halcyon Default Passed NA 393908 16 Risk Control Measure ""Kiosk mode"" prevent user access to tampering/modifying files 468896 Prevent user access to tamper/modify files 1040150 16 Applying Large Shifts Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1270020 Halcyon Default Passed NA 393912 16 Risk Control Measure User rights to SMC prevent unauthorized access 475267 Prevent unauthorized access to SMC 452038 55 QA Calibration Tasks QA Authority HAL40_SYSTEM_REL_04.00.0033 1265400 Halcyon Default Passed NA 393918 16 Risk Control Measure Patient ID is displayed 451806 Patient ID is displayed on treatment screen and in-room monitor 959501 61 General Workflow - ARIA and Ethos Ethos 1.1 HAL40_SYSTEM_REL_04.00.0033 1264740 Halcyon Default Passed NA 393918 16 Risk Control Measure Patient ID is displayed 451806 Patient ID is displayed on treatment screen and in-room monitor"
D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,10,2. Risk Control Measures Verification Trace Matrix (Continued),6-7,Risk Management,Risk Management Reports,,,"393682 Support for attachment of transport tooling 396054 Couch Wheels Integrated 1198 SYRS1690.3.9.12 Integrated Wheels TRR5/1.0.49 10300 NA Passed NA 393683 Tooling to support during transport 395895 Console Cabinet is maneuverable 451232 Handle TDS.Halcyon30.System.TRR_3.0.31.5 484008 Halcyon Default Passed NA 393684 Single action to select axis/direction/speed and 397180 SSP Buttons for Couch Motion 450548 TPVerify_Switch_Operating_Mode_of_StandSidePanel HAL40_SYSTEM_REL_04.00.0012 1098240 Halcyon Default Passed NA HAL 4.0 Risk Control Measures Trace Matrix This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D68779 01 Sign Format DND01T01 Rev 02   Page 7 of 176 enable motion (capacitive MEB) 393684 Single action to select axis/direction/speed and enable motion (capacitive MEB) 397180 SSP Buttons for Couch Motion"
D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,12,2. Risk Control Measures Verification Trace Matrix (Continued),7,Risk Management,Risk Management Reports,,,"393688 Imaging mode dose levels not high 397796 Validate Planned MU 922993 tpverif_treatment_mulimits_validation_aria TDS.Halcyon40.System.AUT_04.00.0012 1212465 Halcyon Compatibility - ARIA 15.6 Passed NA 393689 Golden Beam model and coordinate system used in Eclipse Eclipse: SYRS1505.1 RDS machine configurations NA HZRD.UD.RDS.011 User documentation D30638 TPS Falcon Trace Matrix: Requirements Test Procedures, Eclipse 15.5 NA 15.0.12 Passed NA 393690 Couch top accounted for in Eclipse model Eclipse: SYRS532.27.40 Calculated dose in water equivalent media for fields penetrating through couch NA EXT.COUCH.002 Calculation accuracy for predefined couch models D30638 TPS Falcon Trace Matrix: Requirements Test Procedures, Eclipse 15.5 NA  13.5.12 Passed NA 393691 Treatment planning ensures proximal leaf optimally covering distal interleaf junctions Eclipse: SYRS563.4.1.18 Check that MLC plans for SX1 and SX2 conforms to rules"
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,477,4 Supply voltage: (Continued),305-306,Regulatory,Test Reports - Regulatory Compliance,,,"Procedures used (Appendix A): DND15 DR Handling W ork Instruction Rev 01 requires documenting the investigation and outcome Device records (Appendix B): D52172 Halcyon 4.0 Verification Plan Rev 02.docx P d) creates a CHANGE REQUEST(S) for actions needed to correct the problem, or document the rationale for taking no action Procedures used (Appendix A): DND15 DR Handling W ork Instruction Rev 01 specifies that a LL00000016 Change Request Rev 05 is to be created when changes are to be made Device records (Appendix B): D52172 Halcyon 4.0 Verification Plan Rev 02.docx P Page 305 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — 9.3 [A, B, C] The MANUFACTURER advises relevant parties of the existence of the problem, as appropriate Procedures used (Appendix A): RSK0101T02 Risk Management Report (RMR) Rev 13 documents problems and their mitigations."
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,479,4 Supply voltage: (Continued),306-307,Regulatory,Test Reports - Regulatory Compliance,,,"Device records (Appendix B): Design History File Index P Page 306 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — The MANUFACTURER updates the RISK MANAGEMENT FILE as appropriate Procedures used (Appendix A): Risk impact and any associated activities are part of the LL00000016 Change Request Rev 05 RSK0101T01 Risk Management Plan Rev 09 documents updating of the Risk Management File. Device records (Appendix B): D59555 HAL 4.0 Risk Management Plan rev02.pdf P 9.6 [A, B, C] The MANUFACTURER performs analysis to detect trends in PROBLEM REPORTS Procedures used (Appendix A): Trend analysis is included in: DND15 DR Handling W ork Instruction Rev 01 PS02 Complaint Handlings Rev 01 DND01 Design and Development Procedure Rev 02 includes analysis of complaints. DND04T01 Design and Development Plan (DDP) Rev 02 references DND01 Design and Development Procedure Rev 02."
D68492 HAL 4.0 Validation Test Results  Interim Rev 01.docx.pdf,D68492,1,12,1. HAL 4.0 Validation Test Design Strategy – D64929 (Continued),8,Design Validation,Test Reports,,,451965 57 Machine Performance Check Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1259889 Halcyon Default Passed NA 393678 28 Risk Control Measure System provides users clear guidance to reduce confusion 451729 System provides users clear guidance to reduce confusion 452039 74 UX RCMs Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1268355 Halcyon Default Passed NA 393679 16 Risk Control Measure Low Couch home position for ease of mounting/dismounting 455348 Adjust couch top height for mounting/dismounting 452039 74 UX RCMs Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1268355 Halcyon Default Passed NA 393680 17 Risk Control Measure Design of interface for couch top index indents to provide secure attachment of loc bar/immobilization devices 460709 MPC pahntom loc bar can be attached to couch top 451965 57 Machine Performance Check Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1259889 Halcyon Default Passed NA 393681 16 Risk Control Measure Couch manual retract handles designed to prevent entrapment
D68492 HAL 4.0 Validation Test Results  Interim Rev 01.docx.pdf,D68492,1,14,1. HAL 4.0 Validation Test Design Strategy – D64929 (Continued),8-9,Design Validation,Test Reports,,,"equipment that patient/treater/service person can come into contact with following contamination. 451734 RCM1.2.7; Accompanying documentation shall provide instructions for cleaning equipment that patient/treater/service person can come into 969269 30 IFU - Treatment Provider section IFU-PDF HAL40_SYSTEM_REL_04.00.0033 1273337 Halcyon Documentation - PDF Passed NA HAL 4.0 Validation Test Results – Interim This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- 01 D68492 Sign Format DND01T01 Rev 02   Page 9 of 27 contact with following contamination. 393714 16 Risk Control Measure Accompanying documentation shall provide instructions for cleaning equipment that patient/treater/service person can come into contact with following contamination. 451734 RCM1.2.7; Accompanying documentation shall provide instructions for cleaning"
D70154 HAL 4.0 Machinery Directive Checklist Rev 01.pdf,D70154,1,20,2. Detailed Instructions > 2.1 Detailed Instructions for Clause 1.2.2 Control devices (Continued),11,Regulatory,Essential Requirements Checklist,,,"1.0 SSP UI Spec1.0 Couch and Covers UI Spec D11271 Halcyon 1.0 IRM UI Spec 4 Located outside the danger zones, except where necessary for certain control devices such as an emergency stop or a teach pendant, D12679 Halcyon 1.0 Control Console UI Spec D11274 HalcyonD12680 Halcyon 1.0 SSP UI Spec1.0 Couch and Covers UI Spec D11271 Halcyon 1.0 IRM UI Spec 5 Positioned in such a way that their operation cannot cause additional risk, D12679 Halcyon 1.0 Control Console UI Spec D11274 HalcyonD12680 Halcyon 1.0 SSP UI Spec1.0 Couch and Covers UI Spec D11271 Halcyon 1.0 IRM UI Spec 6 Designed or protected in such a way that the desired effect, where a hazard is involved, can only be achieved by a deliberate action, D12679 Halcyon 1.0 Control Console UI Spec D11274 HalcyonD12680 Halcyon 1.0 SSP UI Spec1.0 Couch and Covers UI Spec D11271 Halcyon 1.0 IRM UI Spec 7 Made in such a way as to withstand foreseeable forces; particular attention must be paid to emergency stop devices liable to be"
D70154 HAL 4.0 Machinery Directive Checklist Rev 01.pdf,D70154,1,22,2. Detailed Instructions > 2.1 Detailed Instructions for Clause 1.2.2 Control devices (Continued),12,Regulatory,Essential Requirements Checklist,,,"Console UI Spec D11274 HalcyonD12680 Halcyon 1.0 SSP UI Spec1.0 Couch and Covers UI Spec D11271 Halcyon 1.0 IRM UI Spec 10 Machinery must be fitted with indicators as required for safe operation. The operator must be able to read them from the control position. D12679 Halcyon 1.0 Control Console UI Spec D11274 HalcyonD12680 Halcyon 1.0 SSP UI Spec1.0 Couch and Covers UI Spec D11271 Halcyon 1.0 IRM UI Spec 11 From each control position, the operator must be able to ensure that no-one is in the danger zones, or the control system must be designed and constructed in such a way that starting is prevented while someone is in the danger zone. D12679 Halcyon 1.0 Control Console UI Spec D11274 HalcyonD12680 Halcyon 1.0 SSP UI Spec1.0 Couch and Covers UI Spec D11271 Halcyon 1.0 IRM UI Spec 12 If neither of these possibilities is applicable, before the machinery starts, an acoustic and/or visual warning signal must be given. The exposed persons must have time to leave the"
D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,57,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),20,Regulatory,International Submission Dossier,,,"treatment. The magnitude of radiation which is not fully absorbed by the shielding is within the limits defined in EN 60601-2-1. There is a set of beam interlocks to protect patients, users and others. Design and manufacture are assured through the use of quality system standard EN ISO13485. Risk is evaluated through the use of ISO14971. Device safety is assured through the use of the standards for Medical Electrical Equipment series EN 60601. Verification Summary Report:  D68588 Validation Summary Report: D68014. Risk Management Report (RMR): D56979 : EN 60601-1 Test Report: 106485676MIN-001 IEC 60601-2-1 Test Report: 106485676MIN-005 EN 60601-1-3: Test Report: 106485676MIN-004 MDR GSPR 2(16.4) CMDR 16 AU EP 11.5 Ionising radiation a) Devices intended to emit ionizing radiation shall be designed and manufactured taking into account the requirements of the Directive 2013/59/Euratom laying down basic safety standards for protection against the dangers arising from exposure to"
